time U B V R I J H K
3.327280e-04 -4.610552 -4.634586 -5.421017 -6.027582 -6.729818 -7.055720 -7.593666 -7.938835
1.174150e-03 -4.489366 -4.548731 -5.371042 -5.997768 -6.716360 -7.059939 -7.604391 -7.958357
2.170890e-03 -4.387062 -4.479828 -5.333208 -5.975911 -6.707916 -7.069157 -7.622613 -7.980381
3.229110e-03 -4.301112 -4.423415 -5.301267 -5.959473 -6.701984 -7.080096 -7.640838 -8.006931
4.286130e-03 -4.243422 -4.386347 -5.282173 -5.950371 -6.700844 -7.091817 -7.659067 -8.031931
5.383420e-03 -4.226357 -4.373106 -5.272132 -5.938837 -6.688342 -7.081820 -7.655522 -8.036458
6.496340e-03 -4.144089 -4.306593 -5.223009 -5.899531 -6.661065 -7.079493 -7.668750 -8.060512
6.496700e-03 -4.144089 -4.306593 -5.223009 -5.899531 -6.661065 -7.079493 -7.668750 -8.060512
7.996580e-03 -4.086782 -4.267545 -5.199844 -5.888073 -6.658793 -7.096221 -7.695216 -8.095042
8.982460e-03 -4.058552 -4.248445 -5.188699 -5.882929 -6.659027 -7.107947 -7.712716 -8.117071
9.968340e-03 -4.030598 -4.230258 -5.180059 -5.880810 -6.662895 -7.122177 -7.730949 -8.139102
1.172030e-02 -3.987213 -4.202975 -5.167781 -5.876905 -6.668137 -7.143909 -7.762423 -8.178634
1.317990e-02 -3.952824 -4.179914 -5.157284 -5.875842 -6.673385 -7.163138 -7.787421 -8.208633
1.549210e-02 -3.904367 -4.149440 -5.144186 -5.875111 -6.683639 -7.191609 -7.826398 -8.255666
1.718280e-02 -3.869895 -4.128474 -5.135464 -5.874609 -6.690019 -7.213344 -7.854638 -8.289733
1.881140e-02 -3.829252 -4.101690 -5.121593 -5.869226 -6.692781 -7.230081 -7.879633 -8.319733
2.098290e-02 -3.770765 -4.061426 -5.100883 -5.860541 -6.694435 -7.251057 -7.910374 -8.356768
2.403320e-02 -3.680810 -4.001854 -5.069123 -5.847265 -6.696101 -7.279539 -7.950107 -8.406304
2.847270e-02 -3.541284 -3.906763 -5.015381 -5.819713 -6.690574 -7.312272 -8.001597 -8.472416
3.128260e-02 -3.443956 -3.841128 -4.976236 -5.799102 -6.684775 -7.330766 -8.029847 -8.509458
3.362990e-02 -3.352879 -3.776350 -4.938799 -5.776157 -6.672582 -7.340768 -8.048847 -8.536498
3.642710e-02 -3.225647 -3.685565 -4.880452 -5.740009 -6.654625 -7.351017 -8.070353 -8.566039
3.943990e-02 -3.065864 -3.568896 -4.804446 -5.689920 -6.626369 -7.357024 -8.091107 -8.595580
4.260850e-02 -2.872337 -3.424354 -4.705899 -5.623918 -6.586318 -7.357291 -8.105117 -8.619669
4.575730e-02 -2.657824 -3.260252 -4.591658 -5.543801 -6.532402 -7.347571 -8.108376 -8.629669
4.844060e-02 -2.461097 -3.109180 -4.481812 -5.462006 -6.474593 -7.326097 -8.099896 -8.626711
5.024030e-02 -2.327138 -3.001929 -4.401484 -5.402038 -6.428927 -7.304626 -8.085655 -8.616260
5.193150e-02 -2.199611 -2.900844 -4.323705 -5.340580 -6.380771 -7.278896 -8.065657 -8.601255
5.351940e-02 -2.079733 -2.802923 -4.247625 -5.279106 -6.330128 -7.249931 -8.043918 -8.581261
5.482490e-02 -1.982211 -2.722731 -4.182533 -5.226590 -6.286583 -7.221700 -8.022181 -8.565349
5.637240e-02 -1.863579 -2.625977 -4.104834 -5.161120 -6.230959 -7.187746 -7.995447 -8.542855
5.684910e-02 -1.828638 -2.594837 -4.080527 -5.140600 -6.213881 -7.175246 -7.987946 -8.537851
5.780240e-02 -1.754994 -2.534826 -4.029783 -5.098181 -6.177844 -7.152022 -7.971212 -8.524902
5.930140e-02 -1.638954 -2.438518 -3.952062 -5.031687 -6.120776 -7.118071 -7.945249 -8.509451
5.979450e-02 -1.601548 -2.406950 -3.925454 -5.010890 -6.103277 -7.105574 -7.937752 -8.503998
6.078070e-02 -1.525457 -2.345675 -3.874615 -4.968024 -6.067682 -7.084128 -7.923522 -8.496049
6.262060e-02 -1.387217 -2.230744 -3.782772 -4.891597 -6.003129 -7.045911 -7.899290 -8.480601
6.331780e-02 -1.337279 -2.190038 -3.749514 -4.864399 -5.981080 -7.034474 -7.890065 -8.477653
6.471230e-02 -1.237505 -2.108922 -3.686037 -4.811458 -5.936536 -7.008756 -7.875838 -8.469709
6.733200e-02 -1.054535 -1.962911 -3.571102 -4.719713 -5.862466 -6.969114 -7.850668 -8.456317
7.085130e-02 -0.815662 -1.773977 -3.424468 -4.602701 -5.768903 -6.919486 -7.822224 -8.440873
7.477820e-02 -0.552397 -1.567634 -3.267270 -4.480812 -5.671385 -6.869158 -7.788791 -8.419982
7.904140e-02 -0.288066 -1.359211 -3.108624 -4.357544 -5.572912 -6.814552 -7.751146 -8.392041
8.364160e-02 -0.011157 -1.137460 -2.936790 -4.221286 -5.461991 -6.750652 -7.699433 -8.349101
8.705150e-02 0.205767 -0.959416 -2.799101 -4.112074 -5.370570 -6.694261 -7.651931 -8.304101
9.023880e-02 0.426636 -0.778683 -2.655735 -3.998363 -5.278198 -6.634674 -7.597719 -8.251601
9.351100e-02 0.670926 -0.577151 -2.495885 -3.869836 -5.170862 -6.563982 -7.532719 -8.191162
9.669580e-02 0.932582 -0.361981 -2.324685 -3.732398 -5.056059 -6.490100 -7.463509 -8.123660
9.750870e-02 1.000603 -0.304521 -2.277717 -3.694864 -5.024152 -6.469413 -7.446008 -8.106161
9.913450e-02 1.145660 -0.184766 -2.181781 -3.617408 -4.958793 -6.426224 -7.408506 -8.070722
1.019920e-01 1.410547 0.036162 -2.000967 -3.470539 -4.835615 -6.344855 -7.336004 -8.003222
1.029560e-01 1.503482 0.114688 -1.936510 -3.417469 -4.791231 -6.316670 -7.309298 -7.980283
1.048840e-01 1.696810 0.276859 -1.802736 -3.307343 -4.697489 -6.255303 -7.256796 -7.932345
1.087820e-01 2.109190 0.632514 -1.504460 -3.058915 -4.484134 -6.114413 -7.136677 -7.826472
1.098280e-01 2.223626 0.731032 -1.420225 -2.987183 -4.421374 -6.073066 -7.102476 -7.798537
1.121740e-01 2.466666 0.947169 -1.234232 -2.828078 -4.281801 -5.976722 -7.024070 -7.732669
1.128820e-01 2.551073 1.021823 -1.168947 -2.771819 -4.232481 -5.945382 -6.999871 -7.712238
1.142980e-01 2.727239 1.176076 -1.036922 -2.659353 -4.133857 -5.879045 -6.945671 -7.666806
1.171300e-01 3.098781 1.504932 -0.750886 -2.417049 -3.921674 -5.737569 -6.832197 -7.577585
1.227920e-01 3.978148 2.280964 -0.082574 -1.849267 -3.424084 -5.411593 -6.579522 -7.379187
1.243800e-01 4.242402 2.517910 0.124127 -1.672671 -3.268907 -5.310882 -6.501987 -7.320844
1.275560e-01 4.800766 3.026286 0.568161 -1.295506 -2.937014 -5.097674 -6.342782 -7.200425
1.287080e-01 5.146081 3.363149 0.876343 -1.040625 -2.721196 -4.982693 -6.271121 -7.151684
1.310120e-01 5.566724 3.758605 1.224750 -0.744673 -2.460519 -4.815905 -6.146170 -7.059635
1.315720e-01 5.667459 3.852672 1.309526 -0.671509 -2.395588 -4.776580 -6.117014 -7.036728
1.326900e-01 5.864878 4.042158 1.480444 -0.526498 -2.269071 -4.694167 -6.054561 -6.990914
1.349270e-01 6.257100 4.422185 1.820778 -0.236997 -2.012831 -4.532481 -5.933830 -6.899297
1.380590e-01 6.792603 4.947340 2.296542 0.167697 -1.654428 -4.303508 -5.764858 -6.771895
1.381140e-01 6.800105 4.954841 2.303894 0.174030 -1.648659 -4.301008 -5.762358 -6.769393
1.420740e-01 7.264080 5.421737 2.748996 0.576316 -1.278529 -4.042733 -5.562707 -6.614520
1.429040e-01 7.370631 5.528959 2.851168 0.668540 -1.193766 -3.986019 -5.518584 -6.581233
1.445630e-01 7.572055 5.733528 3.047935 0.845411 -1.031769 -3.873186 -5.432114 -6.512561
1.479310e-01 7.944349 6.113313 3.414294 1.179910 -0.720839 -3.656205 -5.263337 -6.383123
1.514770e-01 8.326376 6.511511 3.800427 1.531254 -0.394262 -3.425690 -5.086223 -6.245825
1.560660e-01 8.968098 7.210420 4.473649 2.131611 0.154313 -3.065113 -4.817141 -6.042417
1.561200e-01 8.974533 7.217920 4.481148 2.137746 0.159310 -3.062079 -4.814641 -6.039549
1.585670e-01 9.227800 7.527317 4.787680 2.419206 0.419902 -2.880891 -4.677670 -5.935189
1.626810e-01 9.507434 7.977614 5.241413 2.843221 0.819282 -2.597687 -4.458558 -5.767611
1.668920e-01 9.650359 8.424958 5.704097 3.280853 1.233550 -2.304095 -4.233006 -5.594712
1.711900e-01 9.615012 8.862550 6.173242 3.727897 1.657704 -2.002645 -4.001625 -5.416858
1.733620e-01 9.584490 9.146890 6.490009 4.026709 1.937949 -1.813759 -3.863406 -5.312948
1.777100e-01 9.405275 9.700611 7.161194 4.664074 2.536352 -1.424282 -3.578676 -5.101627
1.822760e-01 8.333357 9.722950 7.792747 5.364293 3.237629 -0.918373 -3.216279 -4.848716
1.864730e-01 7.923455 9.812555 8.235532 5.811208 3.675744 -0.573979 -2.934476 -4.611733
1.912420e-01 7.418500 9.691798 8.720408 6.315644 4.171948 -0.183383 -2.615892 -4.351300
1.961830e-01 6.875768 9.357551 9.198626 6.839655 4.691894 0.221648 -2.292483 -4.093100
2.032070e-01 6.235007 8.836970 10.136348 8.023610 5.860789 1.012240 -1.709143 -3.654091
2.032500e-01 6.230732 8.832963 10.140948 8.030069 5.868289 1.017243 -1.705244 -3.651592
2.081320e-01 5.759327 8.359950 10.414156 8.644393 6.494308 1.457279 -1.373293 -3.398000
2.114220e-01 5.457720 8.047020 10.485621 9.061810 6.931634 1.764522 -1.139572 -3.222856
2.191310e-01 4.713679 7.245094 10.161040 9.821652 7.834716 2.438296 -0.622384 -2.827437
2.241870e-01 4.290240 6.786951 9.823824 10.342740 8.660053 3.002943 -0.209699 -2.525535
2.298440e-01 3.808648 6.259757 9.315936 10.612752 9.764897 3.705936 0.276206 -2.175231
2.298450e-01 3.808648 6.259757 9.315936 10.612752 9.764897 3.705936 0.276206 -2.175231
2.298450e-01 4.003713 6.347357 8.884030 10.097663 9.566338 3.971654 0.485030 -1.998938
2.298480e-01 4.008058 6.352216 8.888147 10.100564 9.571339 3.976655 0.490031 -1.993941
2.299050e-01 3.993654 6.326607 8.838124 10.061225 9.572071 3.992234 0.496287 -1.993684
2.383050e-01 3.123057 5.324368 7.749668 9.360902 10.416224 4.834443 1.129560 -1.520174
2.479920e-01 2.167913 4.283820 6.667367 8.360340 10.582071 5.927357 1.915571 -0.947616
2.544000e-01 1.495709 3.553361 5.876776 7.563572 10.076727 6.699234 2.417042 -0.595209
2.582430e-01 1.076461 3.095891 5.380420 7.056717 9.638999 7.174934 2.712896 -0.387201
2.628310e-01 0.561071 2.537082 4.771680 6.428611 9.042066 7.769768 3.073905 -0.133666
2.671010e-01 0.093270 2.031591 4.223207 5.865222 8.481701 8.302400 3.416158 0.109351
2.671020e-01 0.093270 2.030655 4.223205 5.864750 8.479553 8.302400 3.416158 0.109351
2.671210e-01 0.090769 2.029092 4.220705 5.862291 8.479202 8.304901 3.417184 0.111652
2.677890e-01 0.018379 1.949147 4.135532 5.774748 8.389554 8.386070 3.470252 0.149746
2.722320e-01 -0.460699 1.430046 3.571491 5.192920 7.582296 9.063269 3.908293 0.460915
2.755910e-01 -0.837557 1.026908 3.134187 4.732263 7.098338 9.463344 4.160371 0.645288
2.800690e-01 -1.327533 0.505488 2.554372 4.103846 6.393422 9.888021 4.469641 0.879980
2.820990e-01 -1.510547 0.311323 2.343023 3.877981 6.141409 10.113211 4.638060 1.006057
2.865670e-01 -1.895633 -0.095259 1.878895 3.359796 5.528618 10.394863 4.955934 1.253172
2.898760e-01 -2.135713 -0.348864 1.592876 3.038664 5.154227 10.556674 5.221764 1.459716
2.939980e-01 -2.400813 -0.630420 1.257811 2.652324 4.676362 10.532801 5.529899 1.701570
2.939980e-01 -2.400813 -0.630420 1.257605 2.650390 4.676362 10.532801 5.529899 1.701570
2.939990e-01 -2.401324 -0.631935 1.257007 2.650323 4.674415 10.531380 5.529899 1.701570
2.940060e-01 -2.401324 -0.631942 1.255313 2.649754 4.671361 10.527815 5.530777 1.701737
2.941730e-01 -2.406325 -0.638378 1.242761 2.626861 4.612922 10.468376 5.563401 1.721899
2.972100e-01 -2.569377 -0.813371 1.023914 2.362003 4.253351 10.335451 5.821288 1.921044
2.999490e-01 -2.705451 -0.960973 0.841063 2.141370 3.976653 10.201168 6.039762 2.099671
3.024010e-01 -2.816017 -1.082347 0.683761 1.953982 3.746125 10.057832 6.242330 2.260780
3.042400e-01 -2.895600 -1.169534 0.572429 1.819736 3.584296 9.944156 6.402351 2.389062
3.127950e-01 -3.230505 -1.540820 0.109743 1.270948 2.922501 8.612880 7.169286 3.031667
3.153030e-01 -3.321106 -1.643432 -0.025818 1.110718 2.731213 8.411764 7.418999 3.223098
3.202620e-01 -3.492487 -1.841558 -0.287453 0.802524 2.361672 7.980344 7.943885 3.623504
3.258080e-01 -3.673296 -2.043608 -0.550425 0.489714 1.990152 7.549972 8.174975 4.135557
3.263640e-01 -3.691338 -2.065191 -0.579436 0.458190 1.951336 7.499977 8.231606 4.180934
3.271260e-01 -3.716433 -2.095561 -0.617259 0.412258 1.897514 7.429976 8.308326 4.244054
3.280770e-01 -3.747525 -2.132438 -0.666061 0.357407 1.831188 7.344127 8.398985 4.322166
3.302180e-01 -3.817726 -2.214074 -0.773276 0.230759 1.680356 7.144914 8.582197 4.495870
3.325430e-01 -3.895990 -2.304461 -0.890046 0.093951 1.516991 6.927332 8.744923 4.679897
3.348610e-01 -3.971765 -2.393423 -1.005822 -0.038527 1.357919 6.713867 8.869785 4.861268
3.365510e-01 -4.025497 -2.458280 -1.088337 -0.135614 1.242680 6.557882 8.932006 4.992383
3.397440e-01 -4.129366 -2.579542 -1.244793 -0.314182 1.030345 6.267614 8.999254 5.244223
3.422870e-01 -4.212253 -2.677472 -1.368670 -0.454339 0.862952 6.035687 8.989474 5.440587
3.448310e-01 -4.295164 -2.774415 -1.491136 -0.595537 0.698715 5.805333 8.933585 5.636908
3.473740e-01 -4.379098 -2.873608 -1.615079 -0.734405 0.534432 5.573331 8.829443 5.828195
3.510380e-01 -4.488637 -3.005093 -1.783158 -0.917745 0.337994 5.363538 8.610040 6.046151
3.529260e-01 -4.552623 -3.082690 -1.877760 -1.023126 0.215108 5.184928 8.474059 6.179164
3.568640e-01 -4.698218 -3.256042 -2.087459 -1.254913 -0.058666 4.759631 8.072116 6.428132
3.603380e-01 -4.827838 -3.410025 -2.269818 -1.454925 -0.291111 4.405956 7.707338 6.652684
3.649900e-01 -5.024439 -3.636572 -2.526810 -1.733868 -0.623273 3.832593 7.018998 6.896071
3.659900e-01 -5.062765 -3.680831 -2.576708 -1.787642 -0.687316 3.734657 6.907101 6.954444
3.696600e-01 -5.218859 -3.855040 -2.769260 -1.996511 -0.936673 3.309776 6.381995 7.104194
3.704910e-01 -5.253688 -3.893969 -2.811340 -2.040172 -0.989041 3.224244 6.280560 7.135069
3.724940e-01 -5.337276 -3.986090 -2.911590 -2.148485 -1.118809 3.007578 6.011640 7.184451
3.740570e-01 -5.402118 -4.056443 -2.986836 -2.230681 -1.216122 2.845371 5.814424 7.206523
3.750980e-01 -5.444856 -4.102877 -3.036755 -2.285195 -1.281046 2.738721 5.679450 7.208451
3.764000e-01 -5.499708 -4.160726 -3.097111 -2.350715 -1.360980 2.607457 5.518689 7.196677
3.774410e-01 -5.541818 -4.204997 -3.145281 -2.404577 -1.425927 2.499697 5.383190 7.167867
3.817390e-01 -5.715062 -4.387162 -3.340757 -2.622249 -1.705005 1.995369 4.706054 6.778750
3.829670e-01 -5.760698 -4.435766 -3.393103 -2.681869 -1.776717 1.872398 4.547195 6.651218
3.854230e-01 -5.850950 -4.528981 -3.493758 -2.795871 -1.923520 1.618006 4.212423 6.298042
3.899490e-01 -6.002684 -4.685116 -3.669516 -3.003281 -2.194883 1.127151 3.530797 5.406591
3.946180e-01 -6.138582 -4.828040 -3.835724 -3.204464 -2.462473 0.646716 2.847095 4.425277
4.008040e-01 -6.296983 -4.996404 -4.036538 -3.446449 -2.774530 0.125259 2.102690 3.286561
4.013400e-01 -6.309482 -5.008918 -4.051522 -3.466046 -2.801373 0.081533 2.042707 3.199603
4.020240e-01 -6.324483 -5.025737 -4.073997 -3.492415 -2.834793 0.025352 1.961854 3.080140
4.028550e-01 -6.344103 -5.046115 -4.098994 -3.523174 -2.876646 -0.042080 1.861720 2.930141
4.045170e-01 -6.379749 -5.084388 -4.148944 -3.585356 -2.957867 -0.180759 1.650650 2.618180
4.078130e-01 -6.445015 -5.157753 -4.245414 -3.708930 -3.119758 -0.463342 1.209377 2.012977
4.119660e-01 -6.519082 -5.245545 -4.367938 -3.862570 -3.320246 -0.818942 0.652216 1.321944
4.129280e-01 -6.536581 -5.264893 -4.393339 -3.895012 -3.362170 -0.889131 0.547805 1.198333
4.138900e-01 -6.554355 -5.285300 -4.420856 -3.929226 -3.406600 -0.960538 0.442198 1.072222
4.151720e-01 -6.575006 -5.311128 -4.455901 -3.972695 -3.462003 -1.054579 0.297262 0.900543
4.194780e-01 -6.647691 -5.396888 -4.576089 -4.120204 -3.648294 -1.367084 -0.184854 0.343165
4.200870e-01 -6.658067 -5.403125 -4.566366 -4.098213 -3.613832 -1.316913 -0.093656 0.032872
4.215280e-01 -6.680847 -5.431858 -4.606434 -4.146976 -3.676779 -1.422438 -0.252984 -0.141682
4.241310e-01 -6.723919 -5.484998 -4.679462 -4.237080 -3.787707 -1.617288 -0.538162 -0.438333
4.249920e-01 -6.739579 -5.504377 -4.704498 -4.266096 -3.823701 -1.678867 -0.625096 -0.526880
4.249930e-01 -6.739579 -5.504377 -4.704498 -4.266096 -3.823701 -1.678867 -0.625096 -0.526880
4.251210e-01 -6.741706 -5.506878 -4.707012 -4.269623 -3.829695 -1.686364 -0.638248 -0.539904
4.261150e-01 -6.757369 -5.526279 -4.734581 -4.303427 -3.869188 -1.754326 -0.735848 -0.638459
4.270890e-01 -6.774499 -5.547145 -4.762138 -4.335966 -3.910186 -1.822308 -0.830970 -0.734515
4.290350e-01 -6.808622 -5.589465 -4.817268 -4.401339 -3.989195 -1.959455 -1.022435 -0.922706
4.298220e-01 -6.821788 -5.606358 -4.839429 -4.426174 -4.021207 -2.013611 -1.096266 -0.993779
4.306080e-01 -6.836420 -5.623258 -4.861982 -4.452470 -4.052216 -2.065281 -1.167602 -1.062894
4.316560e-01 -6.854588 -5.645555 -4.892035 -4.486552 -4.094235 -2.136963 -1.266437 -1.154522
4.337540e-01 -6.895195 -5.692898 -4.952196 -4.557230 -4.180794 -2.282086 -1.463449 -1.337248
4.345480e-01 -6.910193 -5.710884 -4.972631 -4.582073 -4.211813 -2.334907 -1.533445 -1.400846
4.356070e-01 -6.930500 -5.735298 -5.003103 -4.618414 -4.253853 -2.405566 -1.628437 -1.485558
4.388450e-01 -6.998621 -5.812462 -5.097907 -4.724029 -4.382507 -2.633046 -1.932743 -1.748645
4.395630e-01 -7.014297 -5.829980 -5.117976 -4.747861 -4.411037 -2.680924 -1.992069 -1.802273
4.412840e-01 -7.049612 -5.870907 -5.165976 -4.803061 -4.476638 -2.793537 -2.138880 -1.927617
4.452480e-01 -7.140248 -5.970200 -5.281639 -4.934103 -4.634967 -3.069416 -2.503011 -2.237625
4.464610e-01 -7.167750 -5.999636 -5.316719 -4.973235 -4.681012 -3.147816 -2.602341 -2.324381
4.488850e-01 -7.223071 -6.059510 -5.386903 -5.052100 -4.773769 -3.308672 -2.809671 -2.501020
4.535750e-01 -7.334079 -6.179959 -5.524776 -5.206813 -4.956188 -3.625723 -3.224509 -2.871339
4.538580e-01 -7.339762 -6.187457 -5.532277 -5.214628 -4.967255 -3.643756 -3.247005 -2.891338
4.556030e-01 -7.377620 -6.225393 -5.575298 -5.263543 -5.021890 -3.725815 -3.345163 -3.075116
4.570160e-01 -7.410118 -6.259847 -5.615397 -5.307720 -5.072962 -3.807889 -3.447657 -3.176261
4.584280e-01 -7.442948 -6.295286 -5.655082 -5.350218 -5.122604 -3.889006 -3.550154 -3.277409
4.617940e-01 -7.518966 -6.379228 -5.752873 -5.458664 -5.246909 -4.086890 -3.805800 -3.536060
4.669660e-01 -7.637138 -6.509587 -5.903644 -5.624369 -5.433408 -4.382723 -4.188428 -3.944140
4.676660e-01 -7.652476 -6.527107 -5.923746 -5.646902 -5.456996 -4.418358 -4.233427 -3.991638
4.688670e-01 -7.678169 -6.556584 -5.958419 -5.683320 -5.498085 -4.478997 -4.309089 -4.071638
4.700680e-01 -7.705318 -6.586044 -5.991376 -5.719743 -5.539176 -4.538717 -4.384751 -4.151636
4.740360e-01 -7.790252 -6.682967 -6.103770 -5.840431 -5.672459 -4.737947 -4.636073 -4.429909
4.792080e-01 -7.898463 -6.807477 -6.249570 -5.998704 -5.845455 -4.987990 -4.956922 -4.800908
4.801240e-01 -7.916320 -6.827936 -6.274251 -6.024839 -5.874059 -5.027092 -5.007592 -4.857840
4.823220e-01 -7.959887 -6.878991 -6.331897 -6.087384 -5.942664 -5.121908 -5.125760 -4.993645
4.845750e-01 -8.002751 -6.928018 -6.391682 -6.150536 -6.011270 -5.215849 -5.242116 -5.129457
4.847840e-01 -8.007408 -6.933019 -6.396696 -6.156364 -6.017379 -5.225848 -5.252116 -5.141958
4.867070e-01 -8.042776 -6.974113 -6.446486 -6.209521 -6.075988 -5.303192 -5.353472 -5.258338
4.896890e-01 -8.094945 -7.037028 -6.520034 -6.292116 -6.165711 -5.424670 -5.506200 -5.443055
4.943160e-01 -8.171082 -7.127662 -6.632618 -6.415386 -6.301557 -5.608552 -5.737827 -5.730611
4.948400e-01 -8.179301 -7.138799 -6.644812 -6.429003 -6.316556 -5.626055 -5.761020 -5.760067
4.975430e-01 -8.221514 -7.188340 -6.707150 -6.496905 -6.392674 -5.725089 -5.884906 -5.914858
4.981310e-01 -8.229739 -7.199912 -6.720106 -6.511905 -6.407675 -5.746725 -5.910602 -5.946818
4.984560e-01 -8.232239 -7.201295 -6.723079 -6.518028 -6.415175 -5.746819 -5.910900 -5.976484
5.017420e-01 -8.279080 -7.259498 -6.795563 -6.598481 -6.504915 -5.863363 -6.056212 -6.164790
5.050940e-01 -8.326714 -7.318162 -6.868378 -6.678627 -6.592161 -5.975791 -6.199044 -6.359629
5.065530e-01 -8.345677 -7.342730 -6.898522 -6.711770 -6.629661 -6.024072 -6.257967 -6.444075
5.095510e-01 -8.385428 -7.390987 -6.961032 -6.781604 -6.704412 -6.121518 -6.378328 -6.611564
5.156690e-01 -8.461387 -7.486850 -7.081378 -6.916424 -6.855300 -6.320593 -6.626926 -6.934701
5.179000e-01 -8.488983 -7.519417 -7.122021 -6.963256 -6.908933 -6.388913 -6.710149 -7.035270
5.189400e-01 -8.499727 -7.534014 -7.141730 -6.984437 -6.932566 -6.420573 -6.748374 -7.079792
5.207240e-01 -8.520151 -7.560214 -7.174407 -7.020948 -6.973701 -6.473901 -6.814100 -7.156335
5.242910e-01 -8.560687 -7.609908 -7.237288 -7.092590 -7.054839 -6.578901 -6.945552 -7.309905
5.290470e-01 -8.612309 -7.673300 -7.317998 -7.185974 -7.159613 -6.716417 -7.116718 -7.515041
5.304580e-01 -8.627747 -7.691768 -7.340993 -7.212505 -7.190756 -6.754763 -7.164949 -7.571602
5.322350e-01 -8.645687 -7.713917 -7.370885 -7.246202 -7.226898 -6.803940 -7.225684 -7.641134
5.332830e-01 -8.656447 -7.728032 -7.386382 -7.265236 -7.250541 -6.832292 -7.259666 -7.683166
5.346790e-01 -8.671130 -7.745161 -7.409078 -7.291736 -7.280543 -6.869795 -7.305406 -7.737700
5.364260e-01 -8.689076 -7.767318 -7.438976 -7.325437 -7.316689 -6.915653 -7.362903 -7.804269
5.417870e-01 -8.743237 -7.834229 -7.525069 -7.425038 -7.428981 -7.054889 -7.534124 -8.006958
5.495900e-01 -8.825373 -7.933363 -7.651126 -7.569518 -7.588782 -7.250837 -7.768634 -8.282168
5.515800e-01 -8.845838 -7.958052 -7.683532 -7.604909 -7.627436 -7.295841 -7.824386 -8.346258
5.537030e-01 -8.866606 -7.984351 -7.716251 -7.641478 -7.668587 -7.344227 -7.880146 -8.412853
5.537040e-01 -8.863642 -7.977688 -7.707056 -7.635509 -7.666087 -7.340839 -7.886657 -8.416257
5.544660e-01 -8.876916 -7.992690 -7.722552 -7.653009 -7.683588 -7.357534 -7.917211 -8.461260
5.564630e-01 -8.897381 -8.017386 -7.754487 -7.687042 -7.721089 -7.402534 -7.970472 -8.520805
5.583210e-01 -8.917072 -8.039557 -7.782211 -7.718622 -7.757245 -7.443425 -8.016243 -8.572852
5.605180e-01 -8.937846 -8.065869 -7.815436 -7.757305 -7.797239 -7.490925 -8.068739 -8.631952
5.645400e-01 -8.980512 -8.115262 -7.877608 -7.825435 -7.873401 -7.577623 -8.165276 -8.740598
5.710860e-01 -9.047238 -8.194357 -7.976032 -7.937313 -7.995716 -7.719423 -8.322773 -8.911759
5.742390e-01 -9.078803 -8.232069 -8.021798 -7.989748 -8.051877 -7.783627 -8.393546 -8.988814
5.769410e-01 -9.106784 -8.264302 -8.061759 -8.033852 -8.100540 -7.838628 -8.453545 -9.053369
5.778090e-01 -9.115071 -8.274819 -8.074258 -8.046713 -8.115538 -7.855332 -8.473544 -9.073370
5.792080e-01 -9.129769 -8.291503 -8.094485 -8.069576 -8.140537 -7.882832 -8.504314 -9.105872
5.809570e-01 -9.146968 -8.311213 -8.119733 -8.097958 -8.169201 -7.917039 -8.541816 -9.145870
5.824640e-01 -9.160254 -8.328391 -8.140244 -8.120864 -8.195367 -7.947039 -8.574316 -9.180869
5.846890e-01 -9.183242 -8.353946 -8.170494 -8.154932 -8.232867 -7.988746 -8.622589 -9.230426
5.865210e-01 -9.200742 -8.373661 -8.195747 -8.183680 -8.264034 -8.023747 -8.662587 -9.272926
5.921980e-01 -9.255315 -8.438131 -8.273481 -8.269373 -8.357701 -8.129666 -8.780859 -9.395425
5.954430e-01 -9.285813 -8.472855 -8.314254 -8.315996 -8.408870 -8.187168 -8.844136 -9.462926
6.007650e-01 -9.336311 -8.529815 -8.382284 -8.391708 -8.492542 -8.280589 -8.947411 -9.569983
6.028040e-01 -9.354607 -8.552020 -8.407824 -8.420469 -8.523714 -8.314803 -8.985688 -9.609984
6.049900e-01 -9.374310 -8.573754 -8.434798 -8.449559 -8.556214 -8.352303 -9.025688 -9.652484
6.055730e-01 -9.375998 -8.576224 -8.435594 -8.452150 -8.561063 -8.363089 -9.038185 -9.669543
6.114260e-01 -9.427299 -8.635197 -8.506366 -8.531664 -8.647240 -8.457304 -9.140685 -9.774541
6.133690e-01 -9.444504 -8.653267 -8.529119 -8.557040 -8.674739 -8.487304 -9.172245 -9.807483
6.155160e-01 -9.460600 -8.674152 -8.554393 -8.585808 -8.705917 -8.519802 -9.207244 -9.844543
6.186480e-01 -9.486108 -8.703901 -8.589674 -8.624909 -8.748418 -8.564806 -9.256462 -9.894541
6.207520e-01 -9.504412 -8.724474 -8.614931 -8.652455 -8.777097 -8.594804 -9.287243 -9.927042
6.217380e-01 -9.511912 -8.733657 -8.624954 -8.663679 -8.789597 -8.609804 -9.302243 -9.942042
6.227140e-01 -9.520218 -8.742517 -8.635485 -8.676178 -8.802096 -8.622307 -9.314744 -9.954984
6.255130e-01 -9.541024 -8.768444 -8.667977 -8.711557 -8.839597 -8.661521 -9.354743 -9.994984
6.288080e-01 -9.566537 -8.798204 -8.703773 -8.751937 -8.882097 -8.704805 -9.397243 -10.039542
6.317730e-01 -9.590657 -8.825768 -8.736299 -8.788168 -8.919598 -8.744805 -9.434743 -10.077042
